(1, 'I Let It in and It Took Everything', '2020-02-07', 'https://i.scdn.co/image/ab67616d0000b273101232ffd5af0e3c37e2c528', '6nUUV3haj8ug8okTmOyIU2', 'MPREb_2uCMYQLoJ4W'),
(2, 'Worship Decay', '2020-12-11', 'https://i.scdn.co/image/ab67616d0000b273a4490df30fdc43517a84ba1b', '6p0QyRsjKRwrQycbMyVSKz', 'MPREb_ZwQHlFde2Kk'),
(3, 'The Path', '2020-09-18', 'https://i.scdn.co/image/ab67616d0000b27354d13a89d350d3964d61acce', '0K97w4lUFd305SnQErgFd7', 'MPREb_DYnKMa25Cp3'),
(4, 'Where Owls Know My Name', '2018-03-16', 'https://i.scdn.co/image/ab67616d0000b273e3f6394568aafd9e1d992db3', '6Ue1iqByWrHTVFUkTpnm7D', 'MPREb_1QzZm2J5F40'),
(5, 'Agony', '2011-08-19', 'https://i.scdn.co/image/ab67616d0000b273cc8eb4c43f7cc7d60c33aa01', '6X7cjb463ozDJIVeWnS4Lq', 'MPREb_b5COCVO3wfc'),
(6, 'Cognitive', '2012-01-01', 'https://i.scdn.co/image/ab67616d0000b273daa8333155739b7d996a1b6e', '37wjgRptAoLieHVbQX5326', 'MPREb_E0vKXJXklOI'),
(7, 'House of Gold & Bones, Part 1', '2012-10-17', 'https://i.scdn.co/image/ab67616d0000b2738328645e58684d8770a8475f', '2nCHgPLLyIgxFKUBYuMKPn', 'MPREb_4ddfd8XyGV3'),
(8, 'Blood of the Nations', '2010-08-20', 'https://i.scdn.co/image/ab67616d0000b27339bcae6f92f8ba8941dc2fb1', '0sUtCw0dDv0KC8zrnxlmY4', 'MPREb_flAbTyh1l2W'),
(9, 'Flyleaf', '2005-10-04', 'https://i.scdn.co/image/ab67616d0000b27387b45f9258e032555f0ab926', '0k64QfYJiwT7ko5K8z91S3', 'MPREb_t3gBN41QbWr'),
(10, 'Around the Fur', '1997-10-27', 'https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6', '7o4UsmV37Sg5It2Eb7vHzu', 'MPREb_ldHH2TnjL9l'),
(11, 'Cult', '2000-10-02', 'https://i.scdn.co/image/ab67616d0000b273adb309747c4f241e7b533494', '0WKEzHdxLazfOV6gOC6Tfj', 'MPREb_jqwj0RJIkXO'),
(12, 'The Sound of Madness', '2008-06-24', 'https://i.scdn.co/image/ab67616d0000b273163d67b70d02808aa057e10b', '4PeRcYNYVB1mD4wemj5zld', 'MPREb_tOCbxmIqWHt'),
(13, 'White Pony', '2000-05-16', 'https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed', '5LEXck3kfixFaA3CqVE7bC', 'MPREb_tdKpHxZ4C9Z'),
(14, 'Diamond Eyes', '2002-03-04', 'https://i.scdn.co/image/ab67616d0000b27372c2145d48f68917a7361b15', '1GjjBpY2iDwSQs5bykQI5e', 'MPREb_6qVnHhh7PQA'),
(15, 'Diamond Eyes (Deluxe)', '2010-04-23', 'https://i.scdn.co/image/ab67616d0000b27305dcb69c7d4b76293c77411e', '4RQnFSkkZlA65Xxchhnaha', 'MPREb_6qVnHhh7PQA'),
(16, 'Ohms', '2020-09-25', 'https://i.scdn.co/image/ab67616d0000b27366c9f5d6f13bfc9abedc1056', '0VEFy5MsBiq0u2lWL0OwOd', 'MPREb_OsY0osplAus'),
(17, 'Gore', '2016-04-08', 'https://i.scdn.co/image/ab67616d0000b273a1de34b79834eddf96f803ff', '3tsXyEbUQehXPaRFCS8K1n', 'MPREb_hIxj84Vx9zn'),
(18, 'Untouchables', '2002-06-11', 'https://i.scdn.co/image/ab67616d0000b273b9b950561aa1d3606865a2ee', '1MqmDK2xw4isOPhiUb9eXO', 'MPREb_P7a0PfF1KKW'),
(19, 'Curse', '2021-07-14', 'https://i.scdn.co/image/ab67616d0000b273b547d837125a2c15a48899dc', '4IO7PP3b6sRhsJVrj8u4IK', 'MPREb_AFZMvd8baJN'),
(20, 'How To Destroy Angels', '2010-05-26', 'https://i.scdn.co/image/ab67616d0000b2732eaac04d7932f46f783c4ee2', '3FDtcwMuJ6JrBNzbVBSIaK', 'MPREb_OEGrhIMmwCC'),
(21, 'Sacrament', '2006-08-21', 'https://i.scdn.co/image/ab67616d0000b273e931ace4d7f95ccad7307db6', '1cikCss5SRQLrIAmpyHoVw', 'MPREb_1QDTc7IxFU8'),
(22, 'Souvlaki', '2002-06-01', 'https://i.scdn.co/image/ab67616d0000b273f6e31941d10e4819d290af41', '53eHm1f3sFiSzWMaKOl98Z', 'MPREb_CzX2z4WledH'),
