(1, 'I Let It in and It Took Everything...', 320, '5:20', '09fDemXgXzRReTfb7UWxjD', 'CB02OI9W6Yk'),
(2, 'Two-Way Mirror', 300, '5:00', '0b4TKuvZ4eJ8eHgJgXaCnN', 'MSUGmeWqbCY'),
(3, 'Worship Decay', 257, '4:17', '0X3K3claSyeXDyJO6tpRrq', 'fNZpc5uTSuA'),
(4, 'God of Fire', 210, '3:30', '6X2vvNcdEjIKAtKfXugV7a', 'g_42cE93yGk'),
(5, 'Where Owls Know My Name', 402, '6:42', '6NgRSCfGt18L0ZbpHVBZWW', 'LBAXZto7uVc'),
(6, 'The Violation', 258, '4:18', '71lK2GJzwUVThQuOGKTHSE', 'xjKyzwqIT7s'),
(7, 'Fraccions', 296, '4:56', '4wZAghJMqYdxEaFOHtOc2C', 'DEJt4_8sW30'),
(8, 'Absolute Zero', 229, '3:49', '14EORgkbXqIx5K4Haucmnb', 'wJuEjAo4ues'),
(9, 'Kill the Pain', 347, '5:47', '5TMj9sVkboOwxLhoeEq2k6', 'SzCYh5pKFYw'),
(10, "I'm So Sick", 176, '2:56', None, None),
(11, 'My Own Summer (Shove It)', 214, '3:34', '3v0ylYF51SKkgAi4PrfKTq', 'iWIADZKU9dw'),
(12, 'Cassie', 177, '2:57', '1158ckiB5S4cpsdYHDB9IF', 'XOzs1FehYOA'),
(13, 'Path', 186, '3:06', '02KDKKuIepzAeeGTC6ud29', '07ziFREk2uE'),
(14, 'Diamond Eyes (Boom-Lay Boom-Lay Boom)', 336, '5:36', '2J8hEFkBMuoGQ5IJxe7X6a', 'm9xqO9kKqyk'),
(15, 'Change (In the House of Flies)', 299, '4:59', '1PLMK1ui86iHHG3FM1N7ue', 'vV0bM6_TYvc'),
(16, 'Sextape', 241, '4:01', '51c94ac31swyDQj9B3Lzs3', 'WPpDyIJdasg'),
(17, 'Diamond Eyes', 188, '3:08', '1EryAkZ0VHstC6haIxVBiE', 'f0pdwd0miqs'),
(18, 'Passenger', 368, '6:08', '1FdU4oF88UOJwA9GYgognx', 'gRlHBTYKyVg'),
(19, 'Digital Bath', 255, '4:15', '7IoK6jZBxY7NMoQPoPXZCF', 'IjainiB8mk4'),
(20, 'Ceremony', 207, '3:27', '2jSJm3Gv6GLxduWLenmjKS', 'dd_461ZrJb8'),
(21, 'Doomed User', 266, '4:26', '2X5SHv5ubRTNIgMxxCPYdo', 'Kbl0aSRzvKg'),
(22, 'Prayers / Triangles', 217, '3:37', '6eMGp0jmEbFxy42ZnyzsLJ', 'IxE6kaNuNB8'),
(23, 'Here To Stay', 270, '4:30', '0B1Iqqq8wVoXM5R5glHQES', 'JAmt6zN9vOk'),
(24, 'Mephisto', 198, '3:18', '66LT15XEqCaWiMG44NGQRE', 'pr3x7tS__dE'),
(25, 'The Space In Between', 214, '3:34', '73JIuhIcUtdNywYNpnMSjC', 'km2lcSX5H-k'),
(26, 'Redneck', 220, '3:40', '1YzbEChYqIWSWp1fnZy9Ez', 'gG7vT7BbpRk'),
(27, 'When the Sun Hits', 285, '4:45', '04EtBLFIxbcVt9NdYgcrpF', 'oqdZpxkzNvc'),
(28, 'Silent War', 251, '4:11', '0oxYB9GoOIDrdzniNdKC44', 'MKYY0IlTMw4'),
(29, "I'll Be Fine", 254, '4:14', '2Pkmx7remrI6p4SPGLbX9a', 'fW0IRE2aInc'),
(30, 'Throne of Thorns', 197, '3:17', '1PNDKN4VFcm3Fd22OozoQQ', '5uwyvvxNvqQ'),
(31, 'Midnight Pasta', 273, '4:33', '7ILmlpGezrJpardtaONM9P', '74DId3Iac-M'),
(32, 'Midnight', 240, '4:00', '1jodxfLylLDrOpme1U35u0', 'oaF0THlu838'),
(33, 'Your Shadow Walks With Me', 220, '3:40', '7B1eHHZAiSYZTQn7xndqxy', 'WyaB-79tp0s'),
(34, 'Perish', 328, '5:28', '3QqQLdxR6uZDGoxXmOJhaa', 'lmNu_1i8A58'),
(35, 'Killing My Dreams', 231, '3:51', '2SsrRygE0VPkjFrtcV4PL8', 'aXv8GvkAzbs'),
(36, 'Forward!', 209, '3:29', '6NvjefGOBXHhY8iCv8NiEN', '_iIBP6pNKEU'),
(37, 'Buying New Soul', 625, '10:25', '38XmF28XW6a7g44JhZdsDT', 'KViXRn_c2nE'),
(38, 'Blackest Eyes - Remastered', 264, '4:24', '5CV3WEgv5C02fYSmzpkHeZ', '_kT38XB1YHo'),
(39, 'Kickstart My Heart', 284, '4:44', '72MXwlutXRUV31lmFhylgn', 'RjnYZieXSL4'),
(40, 'Serotonia', 351, '5:51', '6imjJij6aCM0IbbODUzJQn', 'WqOlHt--fOI'),
(41, 'Spiritual Architecture', 562, '9:22', '2NESCpoymDV70ONdSe798A', 'ATflA6WOy0I'),
(42, "Un'insurrezione", 260, '4:20', '4aWXx6F0IKffa82oZyYMcO', 'qKEeky7VQw0'),
(43, 'The Heart from Your Hate', 243, '4:03', '5NUtNPPThVaA5eI2Ikgnyt', '8JMMjCyyznI'),
(44, 'Antpile', 71, '1:11', '5yDJpu0xh0d1w13gXaE3lS', 'xEdiWiHsKx0'),
(45, 'Wanderer', 168, '2:48', '7fEoIHFRBGeszHJBkXcjQ4', 'hhOQT693q00'),
(46, 'Trail of Tears', 366, '6:06', '6JYYAi0TSzxQNWHNefs5UJ', 'kFlWC_Ktkro'),
(47, 'Rosemary', 413, '6:53', '2VKRR4VBiaWkEX2ib5DPBw', '78-fbo-YOJw'),
(48, "Sorry You're Not a Winner", 254, '4:14', '4FEr6dIdH6EqLKR0jB560J', '6Ii8E21rbvQ'),
(49, 'Windowpane', 464, '7:44', '6PwxotrB99xgatKVzibmkz', 'P4MiC67seUY'),
(50, 'No Guts = No Masters', 216, '3:36', '4uJSCrI7r0usNJ3aaHAuC6', 'bSpqLqC7U6g'),
(51, 'deadlock', 153, '2:33', '3NYtU2wVrBieOY8GWWrRyA', 'W0_UCUJYXsA'),
(52, 'LVI', 263, '4:23', '2Na9J8lP4aWJgvNDEetAew', '_ssn2Srp3b8'),
(53, 'Gouge', 245, '4:05', '4ibss7VsBv7waUQ9P8ezOD', 'cxNGPb4Mnpg'),
(54, 'The Remedy', 243, '4:03', '6vYgIluU2BSLAlq1CWycyl', 'fkGZO_CQxpo'),
(55, 'Pink Cellphone', 304, '5:04', '63GJDO5mxiFP1ZQEpdUWRd', 'WWurkdQBlAE'),
